ID_pedido,ID_proveedor,Fecha,Estado
pedi01234BDFINZ,provTF1453FR,12/12/2023,['Almacenado']
pedi01234aemvAG,provNaG379UK,12/12/2023,['De Camino']
pedi01234bsyMWY,provKUK710GE,12/12/2023,['Por hacer']
pedi01234kmoDGX,provZSS361SP,12/12/2023,['Pagado']
pedi01234fhzVYZ,provAsS129IT,12/12/2023,['Por hacer']
pedi01234mnACDZ,provSFS792IT,12/12/2023,['De Camino']
pedi01234enptST,provMor734GE,12/12/2023,['Por hacer']
pedi01234deCHYZ,provMBH658GE,12/12/2023,['De Camino']
pedi01234bdmzFU,provGUW155UK,12/12/2023,['Almacenado']
pedi01234puzOQY,provGDA071SP,12/12/2023,['Por hacer']
pedi01234axHKPX,provIGS852IT,12/12/2023,['Recibido']
pedi01234uKMRUY,provGES446SP,12/12/2023,['Pagado']
pedi01234afiEQV,provB.S543IT,12/12/2023,['Pagado']
pedi01234kwxQXY,provBGS521IT,12/12/2023,['Por hacer']
pedi01234disDFW,provLin564UK,12/12/2023,['Pagado']
pedi01234ejuANU,provApS922SP,12/12/2023,['Almacenado']
pedi01234loxOTZ,provTIS088SP,12/12/2023,['De Camino']
pedi01234lopvOT,provDeo025SP,12/12/2023,['Recibido']
pedi01234cloHNT,provTF1453FR,11/12/2023,['Recibido']
pedi01234ilzGIX,provEvo408GE,11/12/2023,['Por hacer']
pedi01234npvFXZ,provRDM331IT,11/12/2023,['Pagado']
pedi01234ayABST,provAsS129IT,11/12/2023,['Almacenado']
pedi01234qFHLXZ,provTBG804UK,11/12/2023,['Pagado']
pedi01234enrLSV,provEMC389IT,11/12/2023,['Pagado']
pedi01234dfhHQT,provEMC389IT,11/12/2023,['Almacenado']
pedi01234efHJOU,provNaG379UK,11/12/2023,['Pagado']
pedi01234bgnoJY,provDPG813FR,11/12/2023,['Pagado']
pedi01234ksuwSW,provASI979UK,11/12/2023,['Pagado']
pedi01234axyQSV,provEne685UK,11/12/2023,['Almacenado']
pedi01234BELPXZ,provGla904IR,11/12/2023,['Almacenado']
pedi01234fjkrQV,provCro019GE,11/12/2023,['Por hacer']
pedi01234aeoCXY,provMaC196IR,11/12/2023,['Recibido']
pedi01234ghoCSX,provMaU551UK,11/12/2023,['Pagado']
pedi01234bgrtVZ,provPIS094IT,11/12/2023,['Almacenado']
pedi01234tFMRTX,provAgC974SP,11/12/2023,['Almacenado']
pedi01234klHLQU,provSpe920UK,10/12/2023,['Pagado']
pedi01234xGQSUY,provVos971GE,10/12/2023,['Por hacer']
pedi01234qDSUXZ,provHeM574GE,10/12/2023,['Pagado']
pedi01234mtDISY,provCro019GE,10/12/2023,['Pagado']
pedi01234vwBKRX,provVVB039GE,10/12/2023,['Almacenado']
pedi01234ehijoQ,provAdL707SP,10/12/2023,['Por hacer']
pedi01234iprIUX,provVos971GE,10/12/2023,['Pagado']
pedi01234hwHJRV,provPuG251FR,10/12/2023,['Recibido']
pedi01234chkvyI,provSpe920UK,10/12/2023,['De Camino']
pedi01234kpuFHX,provEvo408GE,10/12/2023,['Almacenado']
pedi01234ahmEUX,provNaG379UK,10/12/2023,['Recibido']
pedi01234doGTUY,provB.S543IT,10/12/2023,['Pagado']
pedi01234gpsvGI,provTIS088SP,10/12/2023,['Por hacer']
pedi01234djlDUV,provMal000IR,10/12/2023,['Pagado']
pedi01234atvHIU,provMaC196IR,10/12/2023,['Por hacer']
pedi01234jwGOQU,provHeM574GE,10/12/2023,['Recibido']
pedi01234jsvMNZ,provVos971GE,10/12/2023,['Pagado']
pedi01234grEIJW,provGES446SP,10/12/2023,['De Camino']
pedi01234lvzKQW,provAgC974SP,10/12/2023,['Pagado']
pedi01234czPUWZ,provLDC071FR,10/12/2023,['Pagado']
pedi01234wzBLVX,provAsS129IT,10/12/2023,['Almacenado']
pedi01234elpvGK,provRat613GE,10/12/2023,['Almacenado']
pedi01234kovETY,provSpe920UK,09/12/2023,['Pagado']
pedi01234afjGMO,provMed974GE,09/12/2023,['Almacenado']
pedi01234bgkxTY,provRot145UK,09/12/2023,['Pagado']
pedi01234epHKLN,provEvo408GE,09/12/2023,['De Camino']
pedi01234auELTU,provXXX959FR,09/12/2023,['De Camino']
pedi01234pxEFHJ,provMaU551UK,09/12/2023,['Pagado']
pedi01234iuBJKN,provMaC196IR,09/12/2023,['De Camino']
pedi01234dmoDVX,provMaM160UK,09/12/2023,['Por hacer']
pedi01234fvAGRT,provFUM061IT,09/12/2023,['Pagado']
pedi01234xDEKNX,provUni273IR,09/12/2023,['Por hacer']
pedi01234nBCQRY,provSaS872IT,09/12/2023,['Almacenado']
pedi01234boBKUV,provIGS852IT,09/12/2023,['Pagado']
pedi01234dnvyBI,provAgC974SP,09/12/2023,['Por hacer']
pedi01234dpuFIY,provSPH558SP,09/12/2023,['Almacenado']
pedi01234hwBELM,provAsS356IT,09/12/2023,['De Camino']
pedi01234sFIKUV,provKUK710GE,09/12/2023,['De Camino']
pedi01234lxENTV,provSac959SP,09/12/2023,['Pagado']
pedi01234bhinzG,provAgC974SP,09/12/2023,['Pagado']
pedi01234hjrEFP,provDPG813FR,09/12/2023,['De Camino']
pedi01234jHLNUY,provEvo408GE,09/12/2023,['Almacenado']
pedi01234jlJMSX,provFUM061IT,09/12/2023,['Pagado']
pedi01234kptGHM,provUAS964IT,09/12/2023,['Recibido']
pedi01234duGLQY,provMed974GE,09/12/2023,['Pagado']
pedi01234movwxT,provPIS094IT,09/12/2023,['Almacenado']
pedi01234ehiuEF,provTF1453FR,09/12/2023,['De Camino']
pedi01234yHKNXZ,provIGS852IT,09/12/2023,['Pagado']
pedi01234dmsKPY,provPIS094IT,09/12/2023,['Pagado']
pedi01234fuvyAN,provPuG251FR,08/12/2023,['Pagado']
pedi01234dklosS,provLDC071FR,08/12/2023,['Pagado']
pedi01234jsEMUY,provTal685SP,08/12/2023,['Almacenado']
pedi01234ilGSVZ,provPIS094IT,08/12/2023,['Pagado']
pedi01234mFLNPY,provTF1453FR,08/12/2023,['De Camino']
pedi01234knrvxG,provDer559FR,08/12/2023,['Pagado']
pedi01234syCMNP,provAsS129IT,08/12/2023,['De Camino']
pedi01234rsGPQV,provLin564UK,08/12/2023,['Pagado']
pedi01234gjtJNS,provRat613GE,08/12/2023,['Almacenado']
pedi01234cksOSW,provAnt183SP,08/12/2023,['Distribuido']
pedi01234ckCHMW,provGDA071SP,08/12/2023,['Por hacer']
pedi01234fvAHKV,provEMC389IT,08/12/2023,['De Camino']
pedi01234rzFOSX,provPuG251FR,08/12/2023,['Distribuido']
pedi01234jsuwWX,provRat613GE,08/12/2023,['Almacenado']
pedi01234abcgtD,provDeo025SP,08/12/2023,['Almacenado']
pedi01234kmBMPY,provHA&069GE,08/12/2023,['Pagado']
pedi01234isCHMV,provUAS964IT,08/12/2023,['Pagado']
pedi01234ezAMNW,provTIS088SP,08/12/2023,['Distribuido']
pedi01234bdqHXZ,provNaG379UK,08/12/2023,['Almacenado']
pedi01234ijnCDY,provMaU551UK,08/12/2023,['Distribuido']
pedi01234egkxFM,provDeo025SP,07/12/2023,['Por hacer']
pedi01234elyKNO,provVVB039GE,07/12/2023,['Pagado']
pedi01234nvxWXZ,provBGS521IT,07/12/2023,['Almacenado']
pedi01234esvBMO,provDia214UK,07/12/2023,['Almacenado']
pedi01234kvFJLV,provXXX959FR,07/12/2023,['De Camino']
pedi01234btyHKU,provNaG379UK,07/12/2023,['Almacenado']
pedi01234couDTY,provBGS521IT,07/12/2023,['De Camino']
pedi01234wFIJKX,provLin564UK,07/12/2023,['Por hacer']
pedi01234tvGLPU,provCom628UK,07/12/2023,['Pagado']
pedi01234ktzGHQ,provUni273IR,07/12/2023,['Por hacer']
pedi01234hnyzIS,provRDM331IT,07/12/2023,['De Camino']
pedi01234btwEPU,provUni273IR,07/12/2023,['Pagado']
pedi01234abgHOQ,provPIS094IT,07/12/2023,['Pagado']
pedi01234jmuCFR,provPIS094IT,07/12/2023,['Pagado']
pedi01234swJPTW,provViE732UK,07/12/2023,['Pagado']
pedi01234ahoIJQ,provG&T371FR,07/12/2023,['Recibido']
pedi01234deqQSZ,provEQT795IR,07/12/2023,['Almacenado']
pedi01234gnpuFV,provBGS521IT,07/12/2023,['Por hacer']
pedi01234dioyQU,provGES446SP,07/12/2023,['Por hacer']
pedi01234afpGNT,provEif549FR,07/12/2023,['Por hacer']
pedi01234lFHPRU,provEvo408GE,06/12/2023,['Almacenado']
pedi01234bgnpFQ,provEif549FR,06/12/2023,['Recibido']
pedi01234gtDGNX,provDuF994SP,06/12/2023,['De Camino']
pedi01234aerGKP,provSSG189GE,06/12/2023,['Pagado']
pedi01234lprCLX,provGES446SP,06/12/2023,['Pagado']
pedi01234aejBSU,provUni273IR,06/12/2023,['Pagado']
pedi01234zCDQTW,provGDA071SP,06/12/2023,['Almacenado']
pedi01234elosAX,provRat613GE,06/12/2023,['Pagado']
pedi01234cqvxAR,provVos971GE,06/12/2023,['Por hacer']
pedi01234rwHSWY,provHSH047UK,06/12/2023,['Pagado']
pedi01234etDEST,provAgC974SP,06/12/2023,['Pagado']
pedi01234cdtzLT,provAdL707SP,06/12/2023,['Pagado']
pedi01234agqERU,provUAS964IT,06/12/2023,['Recibido']
pedi01234yDGHSY,provVVB039GE,06/12/2023,['Recibido']
pedi01234mqvDXY,provEvo408GE,06/12/2023,['Almacenado']
pedi01234yGJNWY,provPIS094IT,06/12/2023,['Pagado']
pedi01234ovzBJT,provPIS094IT,06/12/2023,['De Camino']
pedi01234kyJLMW,provMaU551UK,06/12/2023,['Recibido']
pedi01234blsCDY,provGUW155UK,06/12/2023,['Recibido']
pedi01234notvPZ,provSFS792IT,06/12/2023,['Recibido']
pedi01234cryAKX,provPuG251FR,06/12/2023,['Pagado']
pedi01234dehjtC,provPuG251FR,06/12/2023,['Almacenado']
pedi01234nrvNPY,provZSS361SP,06/12/2023,['Almacenado']
pedi01234gmBIJS,provAsS129IT,06/12/2023,['Almacenado']
pedi01234degzAY,provGlP735IR,06/12/2023,['De Camino']
pedi01234kquSTV,provAdL707SP,06/12/2023,['Pagado']
pedi01234oszFSX,provCom628UK,06/12/2023,['De Camino']
pedi01234gpqAMZ,provAIG289SP,06/12/2023,['De Camino']
pedi01234cfioxA,provPuG251FR,06/12/2023,['Por hacer']
pedi01234cgzEWZ,provRCP385UK,05/12/2023,['Distribuido']
pedi01234efityJ,provLDC071FR,05/12/2023,['Por hacer']
pedi01234cpuvGI,provRat613GE,05/12/2023,['De Camino']
pedi01234bptILW,provHeM574GE,05/12/2023,['De Camino']
pedi01234ekmCGS,provRDM331IT,05/12/2023,['De Camino']
pedi01234hDFMVW,provSiH990GE,05/12/2023,['De Camino']
pedi01234abwALT,provMed974GE,05/12/2023,['Distribuido']
pedi01234blBHPY,provRob233FR,05/12/2023,['Almacenado']
pedi01234cnzFOX,provRat613GE,05/12/2023,['Pagado']
pedi01234lBDILP,provUAS964IT,05/12/2023,['Pagado']
pedi01234jCDKUV,provKUK710GE,05/12/2023,['Pagado']
pedi01234anELPU,provPVT362GE,05/12/2023,['Pagado']
pedi01234krxEHT,provPuG251FR,05/12/2023,['Pagado']
pedi01234pxzDPZ,provAsS129IT,05/12/2023,['Pagado']
pedi01234dpxAQY,provAsS129IT,05/12/2023,['Almacenado']
pedi01234szINSW,provSpe920UK,05/12/2023,['De Camino']
pedi01234hjkDJO,provInS639SP,05/12/2023,['Por hacer']
pedi01234bcgmwT,provCro019GE,05/12/2023,['De Camino']
pedi01234bDFKSW,provTF1453FR,05/12/2023,['Pagado']
pedi01234cnpqxJ,provSFS792IT,05/12/2023,['Recibido']
pedi01234izBDIW,provLin564UK,05/12/2023,['Pagado']
pedi01234ijzDLM,provEvo408GE,05/12/2023,['De Camino']
pedi01234cisuLX,provEif549FR,05/12/2023,['Distribuido']
pedi01234gpEMOU,provMal000IR,05/12/2023,['Pagado']
pedi01234pqtxHQ,provRCP385UK,05/12/2023,['Pagado']
pedi01234egLOPS,provVVB039GE,05/12/2023,['Pagado']
pedi01234epsuOY,provInS880IT,05/12/2023,['Por hacer']
pedi01234svCIJZ,provVVB039GE,05/12/2023,['Por hacer']
pedi01234elvwLS,provBGS521IT,05/12/2023,['Pagado']
pedi01234devCGQ,provNaG379UK,04/12/2023,['De Camino']
pedi01234ntzGJV,provGla904IR,04/12/2023,['De Camino']
pedi01234abixEL,provBGS521IT,04/12/2023,['Por hacer']
pedi01234advyIM,provCro019GE,04/12/2023,['De Camino']
pedi01234ghyEJP,provKUK710GE,04/12/2023,['Por hacer']
pedi01234hoFIKS,provTF1453FR,04/12/2023,['Por hacer']
pedi01234fkpHIT,provHSH047UK,04/12/2023,['Pagado']
pedi01234djnrvG,provCom628UK,04/12/2023,['Por hacer']
pedi01234ntMQRX,provAsS129IT,04/12/2023,['Por hacer']
pedi01234bfkRXZ,provEif549FR,04/12/2023,['Recibido']
pedi01234korJKN,provCom628UK,04/12/2023,['Pagado']
pedi01234hiqswK,provCro019GE,04/12/2023,['Pagado']
pedi01234jqwDEJ,provInS880IT,04/12/2023,['Por hacer']
pedi01234dkCOQR,provOrS801IT,04/12/2023,['Por hacer']
pedi01234lqrtMN,provAgC974SP,04/12/2023,['De Camino']
pedi01234yCFIOQ,provASI979UK,04/12/2023,['Almacenado']
pedi01234hsxBWY,provEvo408GE,04/12/2023,['Almacenado']
pedi01234uGORVZ,provOrS801IT,04/12/2023,['Almacenado']
pedi01234bhtLSY,provEdF497FR,04/12/2023,['Por hacer']
pedi01234fqDNOT,provMaC196IR,04/12/2023,['De Camino']
pedi01234qCFLQR,provAsS129IT,04/12/2023,['Por hacer']
pedi01234delpMT,provEdF497FR,04/12/2023,['Pagado']
pedi01234dkpRSV,provRot145UK,04/12/2023,['Recibido']
pedi01234wzEFSW,provTTA249IT,04/12/2023,['Por hacer']
pedi01234aiBNTW,provEvo408GE,04/12/2023,['Por hacer']
pedi01234huvLRY,provApS922SP,04/12/2023,['De Camino']
pedi01234lpAUWY,provLin564UK,04/12/2023,['De Camino']
pedi01234rCGOVW,provRat613GE,04/12/2023,['Pagado']
pedi01234aelESY,provMed974GE,04/12/2023,['Almacenado']
pedi01234puBLMY,provTBB562UK,04/12/2023,['Pagado']
pedi01234dszEOV,provAIG289SP,03/12/2023,['Por hacer']
pedi01234juvCTZ,provKUK710GE,03/12/2023,['Almacenado']
pedi01234efgsBQ,provSPH558SP,03/12/2023,['De Camino']
pedi01234eosyCP,provAsS129IT,03/12/2023,['Pagado']
pedi01234lsBJKW,provRDM331IT,03/12/2023,['De Camino']
pedi01234eyAKLP,provKUK710GE,03/12/2023,['Pagado']
pedi01234anBFHN,provSFS792IT,03/12/2023,['Almacenado']
pedi01234bkCPST,provCro019GE,03/12/2023,['Pagado']
pedi01234aegrzA,provSac959SP,03/12/2023,['Pagado']
pedi01234abglMS,provSac959SP,03/12/2023,['De Camino']
pedi01234bevVWZ,provEQT795IR,03/12/2023,['Pagado']
pedi01234defJLT,provEne685UK,03/12/2023,['Pagado']
pedi01234amnACI,provDPG813FR,03/12/2023,['Recibido']
pedi01234hjuzCS,provSSG189GE,03/12/2023,['Recibido']
pedi01234cmqzAL,provMed974GE,03/12/2023,['De Camino']
pedi01234qtTVWZ,provEvo408GE,03/12/2023,['Pagado']
pedi01234mJKNPY,provSac959SP,03/12/2023,['Pagado']
pedi01234szEJQR,provMaM160UK,02/12/2023,['De Camino']
pedi01234derABX,provAIG289SP,02/12/2023,['De Camino']
pedi01234anoxzH,provTF1453FR,02/12/2023,['Recibido']
pedi01234gilCEY,provAsS129IT,02/12/2023,['Por hacer']
pedi01234mqvyzH,provDeo025SP,02/12/2023,['Pagado']
pedi01234dhjpBR,provEvo408GE,02/12/2023,['Pagado']
pedi01234bOUVYZ,provIGS852IT,02/12/2023,['Pagado']
pedi01234jmFMQX,provCro019GE,02/12/2023,['Por hacer']
pedi01234jkmrRV,provMal000IR,02/12/2023,['Por hacer']
pedi01234vzEHMT,provPen195UK,02/12/2023,['Recibido']
pedi01234nrvzDK,provHeM574GE,02/12/2023,['De Camino']
pedi01234uEJRXZ,provGdA043SP,02/12/2023,['Almacenado']
pedi01234bcNSTY,provAgC974SP,02/12/2023,['Distribuido']
pedi01234ajkDJN,provPen195UK,02/12/2023,['Por hacer']
pedi01234nxHIVZ,provFUM061IT,02/12/2023,['De Camino']
pedi01234hkouzA,provRot145UK,02/12/2023,['De Camino']
pedi01234bdtJPT,provGDA071SP,02/12/2023,['Almacenado']
pedi01234crxFHL,provAgC974SP,02/12/2023,['Pagado']
pedi01234lmFLQX,provVVB039GE,02/12/2023,['De Camino']
pedi01234cFKMRY,provEvo408GE,02/12/2023,['Recibido']
pedi01234noqvFO,provTal685SP,02/12/2023,['De Camino']
pedi01234deEHTU,provMaM160UK,02/12/2023,['Almacenado']
pedi01234afrstO,provMaC196IR,02/12/2023,['Pagado']
pedi01234bdeyKN,provMaM160UK,02/12/2023,['Pagado']
pedi01234equDXY,provMed974GE,02/12/2023,['Pagado']
pedi01234mrwIJS,provUAS964IT,02/12/2023,['De Camino']
pedi01234fqszMP,provSPH558SP,02/12/2023,['Almacenado']
pedi01234cjlxLT,provAgC974SP,02/12/2023,['Almacenado']
pedi01234ptFQRS,provRat613GE,02/12/2023,['Almacenado']
pedi01234fkpsFP,provCro019GE,02/12/2023,['Pagado']
pedi01234auwFUZ,provBGS521IT,02/12/2023,['Por hacer']
pedi01234fioqAB,provDuF994SP,02/12/2023,['Por hacer']
pedi01234cdepMT,provASI979UK,02/12/2023,['Por hacer']
pedi01234hotEUY,provSaS872IT,02/12/2023,['De Camino']
pedi01234dinADI,provSFS792IT,01/12/2023,['Pagado']
pedi01234hntEYZ,provRat613GE,01/12/2023,['Por hacer']
pedi01234bkwzLO,provAsS129IT,01/12/2023,['Pagado']
pedi01234amuvzY,provBGS521IT,01/12/2023,['Pagado']
pedi01234isEQUZ,provEif549FR,01/12/2023,['De Camino']
pedi01234achswQ,provPIS094IT,01/12/2023,['Recibido']
pedi01234kABILZ,provSFS792IT,01/12/2023,['Almacenado']
pedi01234ceuvNR,provEMC389IT,01/12/2023,['Por hacer']
pedi01234hkptMX,provAIG289SP,01/12/2023,['De Camino']
pedi01234mGQXYZ,provCro019GE,01/12/2023,['Por hacer']
pedi01234noJNOS,provCom628UK,01/12/2023,['Pagado']
pedi01234agmuFR,provDia214UK,01/12/2023,['De Camino']
pedi01234pwDNQZ,provRDM331IT,01/12/2023,['De Camino']
pedi01234mrxzBS,provEdF497FR,01/12/2023,['De Camino']
pedi01234hiDSUV,provTIS088SP,01/12/2023,['Pagado']
pedi01234flqJPW,provASI979UK,01/12/2023,['Pagado']
pedi01234eyFNQZ,provMaU551UK,01/12/2023,['De Camino']
pedi01234bzDKNT,provAnt183SP,01/12/2023,['Recibido']
pedi01234dnrMPY,provGla904IR,01/12/2023,['Almacenado']
pedi01234lxJLOU,provSPH558SP,01/12/2023,['Pagado']
pedi01234bcgoGT,provEif549FR,01/12/2023,['Pagado']
pedi01234cpsBEH,provSPH558SP,01/12/2023,['Almacenado']
pedi01234inoRVW,provTIS088SP,01/12/2023,['De Camino']
pedi01234fgDEFH,provMal000IR,01/12/2023,['De Camino']
pedi01234axFLMU,provTTA249IT,01/12/2023,['Recibido']
pedi01234ctCKOV,provXXX959FR,01/12/2023,['Pagado']
pedi01234rstyNP,provGDA071SP,01/12/2023,['De Camino']
pedi01234gmswST,provMor734GE,01/12/2023,['Pagado']
pedi01234ozCOTU,provHeM574GE,30/11/2023,['Almacenado']
pedi01234dknIWX,provKUK710GE,30/11/2023,['Por hacer']
pedi01234ajNOTU,provKUK710GE,30/11/2023,['Pagado']
pedi01234asuRWZ,provPuG251FR,30/11/2023,['Almacenado']
pedi01234zBEOVX,provMor734GE,30/11/2023,['Pagado']
pedi01234fwEFMU,provAgC974SP,30/11/2023,['Distribuido']
pedi01234cnxAPS,provFUM061IT,30/11/2023,['Pagado']
pedi01234lpMRWX,provEne004IT,30/11/2023,['Almacenado']
pedi01234eoGKPT,provDeo025SP,30/11/2023,['Recibido']
pedi01234lrsvAG,provRot145UK,30/11/2023,['Pagado']
pedi01234FGKQRZ,provNaG379UK,30/11/2023,['Por hacer']
pedi01234akluCD,provRot145UK,30/11/2023,['Almacenado']
pedi01234epqtGR,provGla904IR,30/11/2023,['Recibido']
pedi01234bjpBGO,provPuG251FR,30/11/2023,['Por hacer']
pedi01234ptyQRX,provMal000IR,30/11/2023,['Almacenado']
pedi01234djmDGH,provMor734GE,30/11/2023,['Almacenado']
pedi01234EFITVW,provKUK710GE,30/11/2023,['Almacenado']
pedi01234eklABJ,provSaS872IT,30/11/2023,['Por hacer']
pedi01234pAOTXY,provMed974GE,30/11/2023,['Almacenado']
pedi01234uABFGM,provMal000IR,30/11/2023,['Distribuido']
pedi01234bhmLMO,provVVB039GE,30/11/2023,['Almacenado']
pedi01234hmAJKO,provAIG289SP,30/11/2023,['Por hacer']
pedi01234lrDEIP,provPVT362GE,30/11/2023,['Pagado']
pedi01234jnuKTV,provPIS094IT,29/11/2023,['Pagado']
pedi01234deqLWY,provRob233FR,29/11/2023,['Almacenado']
pedi01234azGMTY,provLin564UK,29/11/2023,['Por hacer']
pedi01234mnoFJY,provEQT795IR,29/11/2023,['Pagado']
pedi01234hlowJV,provEQT795IR,29/11/2023,['Por hacer']
pedi01234acfvyN,provMal000IR,29/11/2023,['Almacenado']
pedi01234kpHIOW,provDPG813FR,29/11/2023,['Recibido']
pedi01234hpuwNX,provNaG379UK,29/11/2023,['Pagado']
pedi01234kloCGX,provVVB039GE,29/11/2023,['Por hacer']
pedi01234ipGMXZ,provHeM574GE,29/11/2023,['Pagado']
pedi01234cjtLUW,provTBG804UK,29/11/2023,['De Camino']
pedi01234aguGLS,provBEL953FR,29/11/2023,['Distribuido']
pedi01234adsxDG,provSiH990GE,29/11/2023,['De Camino']
pedi01234gloyGW,provViE732UK,29/11/2023,['Por hacer']
pedi01234kBJMQS,provPuG251FR,29/11/2023,['Distribuido']
pedi01234abgjmG,provBGS521IT,29/11/2023,['Pagado']
pedi01234acflAT,provHA&069GE,29/11/2023,['Pagado']
pedi01234aBCHJM,provEne004IT,29/11/2023,['De Camino']
pedi01234dhDKYZ,provSMI564UK,29/11/2023,['Pagado']
pedi01234joswOS,provBFS790IT,29/11/2023,['Recibido']
pedi01234gjrvDI,provCro019GE,28/11/2023,['Pagado']
pedi01234dptUYZ,provSiH990GE,28/11/2023,['Pagado']
pedi01234jnvKRU,provInS880IT,28/11/2023,['Pagado']
pedi01234blnrsK,provUAS964IT,28/11/2023,['Pagado']
pedi01234lFILMY,provAgC974SP,28/11/2023,['Pagado']
pedi01234htxDPQ,provMor734GE,28/11/2023,['Por hacer']
pedi01234kADHTY,provPVT362GE,28/11/2023,['Por hacer']
pedi01234ipsuvE,provGES446SP,28/11/2023,['Almacenado']
pedi01234ahnJXY,provIGS852IT,28/11/2023,['Recibido']
pedi01234bvEHNY,provRat613GE,28/11/2023,['De Camino']
pedi01234bdflpX,provUni273IR,28/11/2023,['Almacenado']
pedi01234iqyCJY,provZSS361SP,28/11/2023,['Pagado']
pedi01234bwDPWY,provCom628UK,28/11/2023,['Almacenado']
pedi01234actyPW,provSFS792IT,28/11/2023,['De Camino']
pedi01234iwHJPX,provSFS792IT,28/11/2023,['Por hacer']
pedi01234bgwyKZ,provTF1453FR,28/11/2023,['Pagado']
pedi01234firuMV,provPVT362GE,28/11/2023,['Distribuido']
pedi01234lyzJQV,provFaB915SP,28/11/2023,['Pagado']
pedi01234agrsVW,provAsS129IT,27/11/2023,['Pagado']
pedi01234ghorUX,provTF1453FR,27/11/2023,['De Camino']
pedi01234lDHQXZ,provAdL707SP,27/11/2023,['De Camino']
