ID_pieza,ID_pedido,Cantidad
piezEnc016BlMer,pedi01234efHJOU,2
piezEst074RsMob,pedi01234bgnoJY,7
piezVer509MrAli,pedi01234ksuwSW,7
piezLoc814AzCos,pedi01234axyQSV,7
piezMdn459NaMob,pedi01234BELPXZ,6
piezCem079MoCon,pedi01234fjkrQV,1
piezLla364RsHer,pedi01234aeoCXY,1
piezPes957BlAli,pedi01234ghoCSX,1
piezCin285BlMer,pedi01234bgrtVZ,5
piezTec059RjInf,pedi01234tFMRTX,5
piezYes914NgCon,pedi01234klHLQU,10
piezFru543NaAli,pedi01234xGQSUY,10
piezLoc029MoCos,pedi01234qDSUXZ,10
piezCar367BlAli,pedi01234mtDISY,9
piezCem683BlCon,pedi01234vwBKRX,6
piezCha083VeCos,pedi01234ehijoQ,8
piezHdc782AmCon,pedi01234iprIUX,1
piezSil639MrMob,pedi01234hwHJRV,9
piezRat867AmInf,pedi01234chkvyI,1
piezAzu502NaCon,pedi01234kpuFHX,7
piezPre285AzAli,pedi01234ahmEUX,10
piezPin070AzHer,pedi01234doGTUY,4
piezMes050RjMob,pedi01234gpsvGI,4
piezDul785VeAli,pedi01234djlDUV,8
piezCre211BlCos,pedi01234atvHIU,2
piezPin082AmCos,pedi01234jwGOQU,2
piezPre334NgAli,pedi01234jsvMNZ,6
piezHil072VeMer,pedi01234grEIJW,2
piezPor649RsInf,pedi01234lvzKQW,2
piezTal793NaHer,pedi01234czPUWZ,4
piezFru543NaAli,pedi01234wzBLVX,1
piezPin061NaHer,pedi01234elpvGK,9
piezDes600VeHer,pedi01234kovETY,6
piezMar400MoHer,pedi01234afjGMO,9
piezBdm971RsCos,pedi01234bgkxTY,7
piezPeg824AzMer,pedi01234epHKLN,3
piezCla872NaCon,pedi01234auELTU,1
piezLám929NgMob,pedi01234pxEFHJ,2
piezEdu181RsCos,pedi01234iuBJKN,10
piezTec459RsInf,pedi01234dmoDVX,7
piezAce121NgCos,pedi01234fvAGRT,2
piezEnc016BlMer,pedi01234xDEKNX,1
piezEsc282AzMob,pedi01234nBCQRY,7
piezPin290MrCos,pedi01234boBKUV,9
piezTec387MoInf,pedi01234dnvyBI,2
piezPre930VeAli,pedi01234dpuFIY,5
piezMes881MrMob,pedi01234hwBELM,10
piezPin083RjCon,pedi01234sFIKUV,6
piezBdm482NaCos,pedi01234lxENTV,3
piezPor605NgInf,pedi01234bhinzG,7
piezBot330VeMer,pedi01234hjrEFP,1
piezCin848MoMer,pedi01234jHLNUY,2
piezPeg973MrMer,pedi01234jlJMSX,1
piezPin225NgCon,pedi01234kptGHM,8
piezLoc852MrCos,pedi01234duGLQY,3
piezDul318MrAli,pedi01234movwxT,8
piezImp595RsInf,pedi01234ehiuEF,2
piezTal839BlHer,pedi01234yHKNXZ,7
piezArm468VeMob,pedi01234dmsKPY,5
piezPre930VeAli,pedi01234fuvyAN,5
piezBdm454RjCos,pedi01234dklosS,2
piezAce565AzCos,pedi01234jsEMUY,3
piezSof795AmMob,pedi01234ilGSVZ,2
piezBdm222MoCos,pedi01234mFLNPY,10
piezCin951AzMer,pedi01234knrvxG,6
piezPer287NgCos,pedi01234syCMNP,3
piezLdm602MoCon,pedi01234rsGPQV,10
piezEst810NgMob,pedi01234gjtJNS,7
piezPaf997MoAli,pedi01234cksOSW,1
piezMes611VeMob,pedi01234ckCHMW,10
piezTij770AzMer,pedi01234fvAHKV,8
piezEdu517AzCos,pedi01234rzFOSX,8
piezFru382NgAli,pedi01234jsuwWX,5
piezCla530RsCon,pedi01234abcgtD,7
piezPeg480BlMer,pedi01234kmBMPY,2
piezImp234AzInf,pedi01234isCHMV,2
piezMaq437BlCos,pedi01234ezAMNW,9
piezPes168VeAli,pedi01234bdqHXZ,10
piezBeb146NgAli,pedi01234ijnCDY,8
piezLdm623VeCon,pedi01234egkxFM,6
piezMar486NaHer,pedi01234elyKNO,4
piezCar554RsAli,pedi01234nvxWXZ,2
piezVer364NgAli,pedi01234esvBMO,1
piezPes947MoAli,pedi01234kvFJLV,8
piezDul785VeAli,pedi01234btyHKU,1
piezTij221NgMer,pedi01234couDTY,6
piezAzu012VeCon,pedi01234wFIJKX,10
piezPre181RsAli,pedi01234tvGLPU,4
piezCim630NaHer,pedi01234ktzGHQ,2
piezCin679AmMer,pedi01234hnyzIS,1
piezCar968MrAli,pedi01234btwEPU,6
piezCab704NaInf,pedi01234abgHOQ,4
piezHdc274RjCon,pedi01234jmuCFR,8
piezTec204AzInf,pedi01234swJPTW,9
piezYes653BlCon,pedi01234ahoIJQ,10
piezCab707AmInf,pedi01234deqQSZ,7
piezMaq372MrCos,pedi01234gnpuFV,2
piezPin468VeCos,pedi01234dioyQU,3
piezAur971NgInf,pedi01234afpGNT,3
piezEnc779MoMer,pedi01234lFHPRU,7
piezMdn620NgMob,pedi01234bgnpFQ,2
piezCem848AmCon,pedi01234gtDGNX,2
piezLad653AzCon,pedi01234aerGKP,9
piezCar554RsAli,pedi01234lprCLX,9
piezSna231AmAli,pedi01234aejBSU,3
piezPin601RsHer,pedi01234zCDQTW,5
piezBot090MoMer,pedi01234elosAX,4
piezCin994MrHer,pedi01234cqvxAR,10
piezAgu154BlMer,pedi01234rwHSWY,7
piezSil146RsMob,pedi01234etDEST,7
piezLla364RsHer,pedi01234cdtzLT,10
piezCem346NaCon,pedi01234agqERU,7
piezCae037MoCon,pedi01234yDGHSY,8
piezTdP888NaCon,pedi01234mqvDXY,8
piezPer751AzCos,pedi01234yGJNWY,9
piezPeg824AzMer,pedi01234ovzBJT,5
piezPaf851NaAli,pedi01234kyJLMW,1
piezMes050RjMob,pedi01234blsCDY,4
piezCla894BlCon,pedi01234notvPZ,1
piezCha951NgCos,pedi01234cryAKX,2
piezCre742BlMer,pedi01234dehjtC,1
piezSie584NaHer,pedi01234nrvNPY,10
piezCre854RsCos,pedi01234gmBIJS,3
piezSil252MoMob,pedi01234degzAY,3
piezLoc852MrCos,pedi01234kquSTV,3
piezPin535NgCos,pedi01234oszFSX,4
piezCem799NgCon,pedi01234gpqAMZ,8
piezLoc064RsCos,pedi01234cfioxA,4
piezBdm223NgCos,pedi01234cgzEWZ,10
piezCam197BlMob,pedi01234efityJ,9
piezCae487RjCon,pedi01234cpuvGI,5
piezHil920MoMer,pedi01234bptILW,5
piezSil252MoMob,pedi01234ekmCGS,9
piezMar703VeHer,pedi01234hDFMVW,2
piezHdc782AmCon,pedi01234abwALT,2
piezEsc748MoMob,pedi01234blBHPY,4
piezEsc748MoMob,pedi01234cnzFOX,2
piezDul785VeAli,pedi01234lBDILP,7
piezCha341MrCos,pedi01234jCDKUV,6
piezCem079MoCon,pedi01234anELPU,3
piezPre606AmAli,pedi01234krxEHT,7
piezPin879AmHer,pedi01234pxzDPZ,4
piezYes914NgCon,pedi01234dpxAQY,1
piezDul318MrAli,pedi01234szINSW,10
piezLad513MrCon,pedi01234hjkDJO,8
piezCre742BlMer,pedi01234bcgmwT,4
piezMdn914MoMob,pedi01234bDFKSW,10
piezDes601MoHer,pedi01234cnpqxJ,2
piezPaf997MoAli,pedi01234izBDIW,5
piezCim365BlHer,pedi01234ijzDLM,7
piezGaR902NaInf,pedi01234cisuLX,6
piezArm691AzMob,pedi01234gpEMOU,1
piezMaq739RjCos,pedi01234pqtxHQ,7
piezSna332RjAli,pedi01234egLOPS,1
piezCre335VeCos,pedi01234epsuOY,1
piezTdP174RjCon,pedi01234svCIJZ,1
piezAzu978BlCon,pedi01234elvwLS,3
piezLla096NgHer,pedi01234devCGQ,9
piezLoc786RjCos,pedi01234ntzGJV,5
piezNiv299MrHer,pedi01234abixEL,2
piezEsc623AmMob,pedi01234advyIM,1
piezVer437MoAli,pedi01234ghyEJP,4
piezEsc623AmMob,pedi01234hoFIKS,10
piezLám990AmMob,pedi01234fkpHIT,9
piezGaR902NaInf,pedi01234djnrvG,1
piezCam546MoMob,pedi01234ntMQRX,7
piezAzu012VeCon,pedi01234bfkRXZ,5
piezHil133BlMer,pedi01234korJKN,6
piezAgu956RsMer,pedi01234hiqswK,8
piezEsc646NaMob,pedi01234jqwDEJ,5
piezDes958NaHer,pedi01234dkCOQR,6
piezVer358AzAli,pedi01234lqrtMN,7
piezEdu517AzCos,pedi01234yCFIOQ,10
piezCha102RjCos,pedi01234hsxBWY,9
piezYes873MrCon,pedi01234uGORVZ,2
piezCin947AmHer,pedi01234bhtLSY,7
piezCam557RjMob,pedi01234fqDNOT,7
piezLdm356AmCon,pedi01234qCFLQR,1
piezPin599MoCos,pedi01234delpMT,2
piezPor759AmInf,pedi01234dkpRSV,9
piezMes881MrMob,pedi01234wzEFSW,2
piezCom297RsInf,pedi01234aiBNTW,8
piezSil262VeMob,pedi01234huvLRY,7
piezLij350NgHer,pedi01234lpAUWY,5
piezMar604RsHer,pedi01234rCGOVW,1
piezArm253RsMob,pedi01234aelESY,6
piezLad942RsCon,pedi01234puBLMY,6
piezCim919RsHer,pedi01234dszEOV,5
piezGaR321BlInf,pedi01234juvCTZ,5
piezPes116AzAli,pedi01234efgsBQ,7
piezEdu564BlCos,pedi01234eosyCP,10
piezPor456MoInf,pedi01234lsBJKW,9
piezCom855AmInf,pedi01234eyAKLP,1
piezCam997AzMob,pedi01234anBFHN,6
piezTel735RsMer,pedi01234bkCPST,9
piezCha264RsCos,pedi01234aegrzA,7
piezSna332RjAli,pedi01234abglMS,3
piezCre209MrMer,pedi01234bevVWZ,10
piezMar604RsHer,pedi01234defJLT,5
piezLác436NaAli,pedi01234amnACI,8
piezPes947MoAli,pedi01234hjuzCS,1
piezTel731NgMer,pedi01234cmqzAL,9
piezLác813AzAli,pedi01234qtTVWZ,6
piezAzu543AmCon,pedi01234mJKNPY,3
piezHil501AmMer,pedi01234szEJQR,4
piezMes627BlMob,pedi01234derABX,4
piezPin878VeCon,pedi01234anoxzH,1
piezDul418AmAli,pedi01234gilCEY,9
piezPeg973MrMer,pedi01234mqvyzH,4
piezPaf278BlAli,pedi01234dhjpBR,9
piezPer751AzCos,pedi01234bOUVYZ,4
piezSof516NaMob,pedi01234jmFMQX,2
piezMdn670VeMob,pedi01234jkmrRV,9
piezCre742BlMer,pedi01234vzEHMT,3
piezCab704NaInf,pedi01234nrvzDK,3
piezAur470AzInf,pedi01234uEJRXZ,10
piezTal582AzHer,pedi01234bcNSTY,5
piezCla872NaCon,pedi01234ajkDJN,5
piezSof351NgMob,pedi01234nxHIVZ,9
piezCin245AmMer,pedi01234hkouzA,6
piezCin425VeHer,pedi01234bdtJPT,4
piezSof404VeMob,pedi01234crxFHL,5
piezGaR321BlInf,pedi01234lmFLQX,6
piezCem786RsCon,pedi01234cFKMRY,4
piezAgu621VeMer,pedi01234noqvFO,6
piezTec500VeInf,pedi01234deEHTU,3
piezCin245AmMer,pedi01234afrstO,7
piezHil564MrMer,pedi01234bdeyKN,4
piezMaf518MoCos,pedi01234equDXY,9
piezAur943MrInf,pedi01234mrwIJS,2
piezMdn620NgMob,pedi01234fqszMP,10
piezAce559VeCos,pedi01234cjlxLT,7
piezDul366RsAli,pedi01234ptFQRS,5
piezImp766MoInf,pedi01234fkpsFP,1
piezRat398VeInf,pedi01234auwFUZ,8
piezLám990AmMob,pedi01234fioqAB,9
piezDes600VeHer,pedi01234cdepMT,7
piezCae408AzCon,pedi01234hotEUY,4
piezSil654AzMob,pedi01234dinADI,7
piezBeb593VeAli,pedi01234hntEYZ,1
piezPCs872BlInf,pedi01234bkwzLO,5
piezPin083RjCon,pedi01234amuvzY,8
piezTij201VeMer,pedi01234isEQUZ,3
piezCin441NaMer,pedi01234achswQ,5
piezPre606AmAli,pedi01234kABILZ,2
piezLad653AzCon,pedi01234ceuvNR,9
piezSil891BlMob,pedi01234hkptMX,3
piezSof007MoMob,pedi01234mGQXYZ,3
piezCom384BlInf,pedi01234noJNOS,1
piezPin082AmCos,pedi01234agmuFR,7
piezGaR123RjInf,pedi01234pwDNQZ,8
piezMaf697NaCos,pedi01234mrxzBS,5
piezMdn914MoMob,pedi01234hiDSUV,10
piezMaf871MrCos,pedi01234flqJPW,8
piezLla364RsHer,pedi01234eyFNQZ,3
piezSie739MrHer,pedi01234bzDKNT,3
piezMdn670VeMob,pedi01234dnrMPY,2
piezLij552MrHer,pedi01234lxJLOU,1
piezEdu961AmCos,pedi01234bcgoGT,4
piezLoc786RjCos,pedi01234cpsBEH,9
piezLdm549MrCon,pedi01234inoRVW,1
piezPor605NgInf,pedi01234fgDEFH,2
piezCla528MoCon,pedi01234axFLMU,2
piezLla587BlHer,pedi01234ctCKOV,6
piezNiv780MoHer,pedi01234rstyNP,10
piezTec059NgInf,pedi01234gmswST,5
piezPCs691RjInf,pedi01234ozCOTU,10
piezSna860RsAli,pedi01234dknIWX,1
piezHil430NaMer,pedi01234ajNOTU,4
piezTdP902AmCon,pedi01234asuRWZ,2
piezMaq751AmCos,pedi01234zBEOVX,3
piezAce895NaCos,pedi01234fwEFMU,1
piezMon227RjInf,pedi01234cnxAPS,9
piezEnc016BlMer,pedi01234lpMRWX,8
piezSna445NaAli,pedi01234eoGKPT,1
piezYes653BlCon,pedi01234lrsvAG,5
piezCin951AzMer,pedi01234FGKQRZ,10
piezLác637MoAli,pedi01234akluCD,3
piezEdu961AmCos,pedi01234epqtGR,4
piezFru543NaAli,pedi01234bjpBGO,1
piezBeb593VeAli,pedi01234ptyQRX,7
piezYes113VeCon,pedi01234djmDGH,4
piezCem675VeCon,pedi01234EFITVW,4
piezYes653BlCon,pedi01234eklABJ,5
piezCha652MoCos,pedi01234pAOTXY,2
piezPor242VeInf,pedi01234uABFGM,7
piezCre408VeMer,pedi01234bhmLMO,2
piezCha216AmCos,pedi01234hmAJKO,6
piezPaf105NgAli,pedi01234lrDEIP,1
piezEnc173NgMer,pedi01234jnuKTV,8
piezPCs691RjInf,pedi01234deqLWY,10
piezSna384BlAli,pedi01234azGMTY,10
piezPin878VeCon,pedi01234mnoFJY,9
piezCar968MrAli,pedi01234hlowJV,3
piezLám693AzMob,pedi01234acfvyN,1
piezAur287MoInf,pedi01234kpHIOW,1
piezCom855AmInf,pedi01234hpuwNX,7
piezLoc814AzCos,pedi01234kloCGX,3
piezEst664AmMob,pedi01234ipGMXZ,9
piezPor368BlInf,pedi01234cjtLUW,6
piezHdc662RsCon,pedi01234aguGLS,10
piezPCs567RsInf,pedi01234adsxDG,8
piezPer522MoCos,pedi01234gloyGW,4
piezPin378MoCon,pedi01234kBJMQS,1
piezDul366RsAli,pedi01234abgjmG,8
piezHdc782AmCon,pedi01234acflAT,3
piezCla115MrCon,pedi01234aBCHJM,4
piezTal581RjHer,pedi01234dhDKYZ,7
piezCam350AmMob,pedi01234joswOS,2
piezCim155VeHer,pedi01234gjrvDI,2
piezLad470NgCon,pedi01234dptUYZ,10
piezMes362RsMob,pedi01234jnvKRU,9
piezFru500MoAli,pedi01234blnrsK,7
piezCha252BlCos,pedi01234lFILMY,6
piezTec636NaInf,pedi01234htxDPQ,5
piezSie535AzHer,pedi01234kADHTY,6
piezAgu873MoMer,pedi01234ipsuvE,1
piezSil654AzMob,pedi01234ahnJXY,5
piezMar755NgHer,pedi01234bvEHNY,9
piezCom384BlInf,pedi01234bdflpX,8
piezPre573NaAli,pedi01234iqyCJY,10
piezCem079MoCon,pedi01234bwDPWY,10
piezEsc327BlMob,pedi01234actyPW,5
piezFru475AmAli,pedi01234iwHJPX,2
piezGaR875RsInf,pedi01234bgwyKZ,2
piezAce597BlCos,pedi01234firuMV,1
piezLác975BlAli,pedi01234lyzJQV,1
piezLoc814AzCos,pedi01234agrsVW,3
piezPin646RjCos,pedi01234ghorUX,7
piezPin646RjCos,pedi01234lDHQXZ,4
piezArm253RsMob,pedi01234aijEWZ,8
piezSna860RsAli,pedi01234clvNPV,4
piezLdm602MoCon,pedi01234wyACRW,2
piezCha872AzCos,pedi01234hxEFSY,1
piezHil501AmMer,pedi01234gqtDVX,9
piezDul418AmAli,pedi01234hwxCKY,10
piezCar418NaAli,pedi01234dlpvAL,4
piezTij013MrMer,pedi01234lxzHNT,10
piezCin192VeMer,pedi01234imHLOV,10
piezPaf731AmAli,pedi01234oqtwJZ,5
piezTel515NaMer,pedi01234enDMNV,10
piezGaR175AzInf,pedi01234lmtvGL,6
piezLoc029MoCos,pedi01234auyTVY,2
piezCin122RsMer,pedi01234rwAINV,1
piezAzu515RsCon,pedi01234prxzCF,10
piezLác880RsAli,pedi01234gpILUV,9
piezTal662RsHer,pedi01234abhyAG,6
piezBot033NgMer,pedi01234bcdnFR,3
piezDul418AmAli,pedi01234nouzKX,8
piezLám603MoMob,pedi01234ekswxV,9
piezCae487RjCon,pedi01234bdxHLO,2
piezCab526VeInf,pedi01234jnwRXY,2
piezCam697NgMob,pedi01234bgnrDU,1
piezSil891BlMob,pedi01234alBCRT,6
piezCae204VeCon,pedi01234bpqGKU,4
piezTec636NaInf,pedi01234gnqAJZ,3
piezHil430NaMer,pedi01234klptWY,9
piezMaf979RjCos,pedi01234betzFP,4
piezMar703VeHer,pedi01234exMRXY,10
piezSie736AmHer,pedi01234orADLN,10
piezCae408AzCon,pedi01234bfgsUY,4
piezCha102RjCos,pedi01234chzDPZ,6
piezImp374BlInf,pedi01234jvCSTZ,4
piezLad942RsCon,pedi01234clpyEM,3
piezCre166RjCos,pedi01234kACDUW,3
piezFru500MoAli,pedi01234otFNOV,4
piezEsc623AmMob,pedi01234mANPSW,5
piezCae988BlCon,pedi01234lnpuBK,7
piezPeg388NaMer,pedi01234aglNOT,10
piezLám441VeMob,pedi01234iklnUX,9
piezCam587RsMob,pedi01234hotBGU,5
piezEdu573MoCos,pedi01234enpuNY,5
piezCae132MrCon,pedi01234bHIJWX,1
piezCha083VeCos,pedi01234bpqAUY,3
piezNiv095VeHer,pedi01234jxyDEI,5
piezCam557RjMob,pedi01234cpyAST,3
piezImp374BlInf,pedi01234lwyDJK,2
piezPaf997MoAli,pedi01234ipuCGV,10
piezCam546MoMob,pedi01234deqwDW,1
piezCin038NaMer,pedi01234jknLQY,10
piezLla740AzHer,pedi01234dksDSZ,1
piezCam997AzMob,pedi01234cgFHSW,5
piezSna231AmAli,pedi01234nrDEUY,8
piezCha083VeCos,pedi01234bjxyEI,6
piezPCs662NaInf,pedi01234gmvLNT,1
piezBdm473AzCos,pedi01234duwCQT,5
piezPer392RjCos,pedi01234fqwyBW,8
piezPin274BlCos,pedi01234jwDFMT,8
piezEsc327BlMob,pedi01234kBDJRW,1
piezHil920MoMer,pedi01234htKMRU,5
piezCre223NgCos,pedi01234gkqFGI,6
piezPin626BlCon,pedi01234gtwAQX,3
piezCha951NgCos,pedi01234mwEOSU,3
piezSie022RjHer,pedi01234ckvLTU,10
piezPCs691RjInf,pedi01234eosCUX,7
piezSie739MrHer,pedi01234dkvBKQ,2
piezCha652MoCos,pedi01234bdqyzK,10
piezEnc433MrMer,pedi01234lorvGL,7
piezCin951AzMer,pedi01234adehoT,2
piezMon728AmInf,pedi01234glosLV,1
piezHil389RjMer,pedi01234knqvGL,7
piezPes116AzAli,pedi01234envDPS,8
piezYes873MrCon,pedi01234hvAFGW,10
piezLác436NaAli,pedi01234wyzFPW,4
piezPor933MrInf,pedi01234ceiszP,5
piezArm468VeMob,pedi01234tuJMRU,3
piezPre285AzAli,pedi01234flENOW,2
piezCar967AmAli,pedi01234enzLUW,4
piezDes933BlHer,pedi01234cnHOSV,6
piezCin974MoHer,pedi01234grtAHW,8
piezSof795AmMob,pedi01234orstvP,6
piezCre335VeCos,pedi01234bcgnpv,8
piezMaf552NgCos,pedi01234ciwxFJ,10
piezEnc433MrMer,pedi01234kvDKNZ,2
piezCla021AmCon,pedi01234egmtRU,8
piezSna332RjAli,pedi01234acuMNO,8
piezCam697NgMob,pedi01234ewzAOP,6
piezMes611VeMob,pedi01234knqrAZ,2
piezCim365BlHer,pedi01234quHPRV,4
piezNiv142NaHer,pedi01234bruBDI,9
piezCin392RjMer,pedi01234osEGOP,9
piezMes841AmMob,pedi01234bchjuC,9
piezCom110MrInf,pedi01234afyzDW,6
piezSil795RjMob,pedi01234fAFGLR,4
piezCha652MoCos,pedi01234acwKQZ,5
piezPaf997MoAli,pedi01234uDKNSU,4
piezEnc049NaMer,pedi01234fuvxCX,5
piezVer437MoAli,pedi01234gwARVY,4
piezSof081MrMob,pedi01234nFJPVX,7
piezPin893NaCos,pedi01234aisxyQ,7
piezSil860RjMob,pedi01234chAELY,5
piezDes584RjHer,pedi01234bjqswU,1
piezDul049NaAli,pedi01234lrsAVX,7
piezSil654AzMob,pedi01234wyEJQY,3
piezMaq363RsCos,pedi01234cdtxJN,5
piezPCs567RsInf,pedi01234agkpIJ,5
piezPCs051VeInf,pedi01234cwyCDK,4
piezLij181VeHer,pedi01234giGMTV,4
piezLdm555AzCon,pedi01234fkowGI,4
piezCam557RjMob,pedi01234dqsBNR,10
piezCom110MrInf,pedi01234cijANV,7
piezAzu567AzCon,pedi01234yzBJQX,8
piezYes914RsCon,pedi01234ntACOQ,10
piezTal637AmHer,pedi01234cwDLOT,10
piezLla674MoHer,pedi01234uxGJNW,8
piezCar968MrAli,pedi01234acBFNR,6
piezCim365BlHer,pedi01234ilLSTY,6
piezPin454AzCos,pedi01234adnFIN,8
piezCre857AmMer,pedi01234ioxzKX,8
piezCae487RjCon,pedi01234ehntxC,2
piezCom519NaInf,pedi01234coqrEN,7
piezMaf979RjCos,pedi01234ksuGPR,6
piezCae464NaCon,pedi01234acoQSU,7
piezFru382NgAli,pedi01234jmnqvC,8
piezMaf979RjCos,pedi01234jtuvyz,4
piezMon301RsInf,pedi01234nuxEOU,7
piezPer270MrCos,pedi01234nCGJTZ,10
piezYes914RsCon,pedi01234xFKPRX,1
piezLad709BlCon,pedi01234eoEFHN,8
piezCin982BlHer,pedi01234abwGWX,9
piezDul418AmAli,pedi01234jorzOQ,9
piezMar400MoHer,pedi01234dekoKM,5
piezSie584NaHer,pedi01234inAGPQ,7
piezLad902MoCon,pedi01234isyESY,9
piezCin692MrMer,pedi01234bkowNZ,10
piezMaq583NgCos,pedi01234bfkxDN,3
piezCem683BlCon,pedi01234dhmFLT,3
piezRat353RjInf,pedi01234myAGIZ,1
piezLoc554NgCos,pedi01234psyJOP,9
piezCre461AzMer,pedi01234fgpLWZ,10
piezCin515AzMer,pedi01234fnvKSY,6
piezSna384BlAli,pedi01234fnvMRX,5
piezLoc814AzCos,pedi01234boABOT,1
piezCom110MrInf,pedi01234emoIKM,2
piezPin038VeHer,pedi01234gtKMRY,1
piezTel824MoMer,pedi01234cekzHK,9
piezEnc049NaMer,pedi01234kuNTUV,1
piezPeg827VeMer,pedi01234aeuOPS,5
piezPin225NgCon,pedi01234qxCOSY,5
piezNiv141RjHer,pedi01234kuEGMR,2
piezLij454BlHer,pedi01234klyzCR,7
piezMdn876RjMob,pedi01234lruzKY,2
piezBeb931AmAli,pedi01234djnyAD,8
piezRat317MoInf,pedi01234bepuvT,4
piezRat741NgInf,pedi01234muEIQS,1
piezPer450VeCos,pedi01234rtvCFN,1
piezPin599MoCos,pedi01234klvPQT,9
piezPaf851NaAli,pedi01234dhoqKM,3
piezCab389MrInf,pedi01234ejnQXZ,10
piezMon227RjInf,pedi01234cfkwGN,3
piezCin213NaHer,pedi01234azDGOX,5
piezLij875RjHer,pedi01234hnqsOZ,10
piezTec059RjInf,pedi01234wBFGQY,5
piezHil528NgMer,pedi01234loyBCX,7
piezHdc808BlCon,pedi01234dgizDV,10
piezTij013MrMer,pedi01234ainpuT,8
piezPin468VeCos,pedi01234ftCKST,10
piezMon238NgInf,pedi01234jlwIJX,3
piezPCs280AzInf,pedi01234hiwBWY,10
